"temps_dupl","medi","nutrient","clon"
0.680505903985264,"A","mitja","11"
1.46181152892301,"A","mitja","12"
1.58379429911261,"A","mitja","13"
1.59417067547592,"A","mitja","14"
1.58902588294105,"A","mitja","15"
1.96579092850238,"A","mitja","16"
1.31618481991415,"A","mitja","17"
1.0136979319172,"A","mitja","18"
0.535308048418545,"B","mitja","1"
0.48336635089499,"B","mitja","2"
1.93581067412147,"B","mitja","3"
0.814535800663532,"B","mitja","4"
0.427413705249553,"B","mitja","5"
0.936491167808504,"B","mitja","6"
0.672742987468123,"B","mitja","7"
2.79041970849554,"B","mitja","8"
0.627480075131859,"B","mitja","9"
1.66190504239601,"B","mitja","10"
0.407629870434558,"B","mitja","11"
1.16888763875211,"B","mitja","12"
0.990380517749467,"B","mitja","13"
2.48021941163183,"B","mitja","14"
1.17575154382016,"B","mitja","15"
1.49012823874096,"B","mitja","16"
1.73828534474032,"B","mitja","17"
0.76142077932853,"B","mitja","18"
0.748060858142147,"C","mitja","1"
2.04299511647195,"C","mitja","2"
1.09319665010093,"C","mitja","3"
0.886750525238496,"C","mitja","4"
5.78143740471723,"C","mitja","5"
2.53712947521012,"C","mitja","6"
1.31554423985252,"C","mitja","7"
1.23065969845263,"C","mitja","8"
1.60193614652181,"C","mitja","9"
0.353106180543462,"C","mitja","10"
0.850881133944388,"C","mitja","11"
1.73890030593682,"C","mitja","12"
1.33179406843579,"C","mitja","13"
0.924721877736429,"C","mitja","14"
2.42128518683241,"C","mitja","15"
1.94642830270034,"C","mitja","16"
1.67553305415429,"C","mitja","17"
1.44221161170462,"C","mitja","18"
0.283552191259059,"A","alt","1"
1.31288315781274,"A","alt","2"
1.11077368978105,"A","alt","3"
0.743682672130819,"A","alt","4"
1.43079724568919,"A","alt","5"
0.520274720955478,"A","alt","6"
0.403292058236334,"A","alt","7"
1.31766173909199,"A","alt","8"
0.492637035119163,"A","alt","9"
0.582917756829593,"A","alt","10"
0.69791024152049,"A","alt","11"
0.92648589924213,"A","alt","12"
0.842775512288868,"A","alt","13"
0.834684698773882,"A","alt","14"
1.00357800100674,"A","alt","15"
1.77776304427443,"A","alt","16"
0.900588184855857,"A","alt","17"
0.912582488569757,"A","alt","18"
1.562176712715,"B","alt","1"
0.508596321852758,"B","alt","2"
0.329345125736877,"B","alt","3"
0.598801152321517,"B","alt","4"
0.513914757655021,"B","alt","5"
1.00327511777695,"B","alt","6"
0.736681296564162,"B","alt","7"
1.55484191132796,"B","alt","8"
0.25456835562224,"B","alt","9"
0.569519993305091,"B","alt","10"
0.42332747636794,"B","alt","11"
0.997884805560998,"B","alt","12"
0.678836148665298,"B","alt","13"
1.68366156529273,"B","alt","14"
0.922653611570817,"B","alt","15"
0.737332320443457,"B","alt","16"
1.30069615262609,"B","alt","17"
0.835066910192155,"B","alt","18"
0.38961085812232,"C","alt","1"
0.338192859397862,"C","alt","2"
0.845431149035821,"C","alt","3"
1.60745046780417,"C","alt","4"
2.961383783356,"C","alt","5"
1.0742422901903,"C","alt","6"
1.87392157491699,"C","alt","7"
1.542344838658,"C","alt","8"
1.07139860832552,"C","alt","9"
1.05190484820951,"C","alt","10"
1.29690035528006,"C","alt","11"
3.14905249915349,"C","alt","12"
2.27668247617243,"C","alt","13"
0.795763497813676,"C","alt","14"
1.30064430612618,"C","alt","15"
2.27350597988582,"C","alt","16"
0.700004223123171,"C","alt","17"
6.87941360911965,"C","alt","18"
